snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,308864,4248070,658,960
2,13996478714,4256438,714,17144
3,28604370204,4256438,714,17192
4,37254933168,4256438,714,17144
5,45910791700,4256438,714,17144
6,58999803858,4256403,685,17400
7,69683467785,4256403,685,17400
8,84543689033,4256403,685,17400
9,92605632520,4256403,685,17400
10,106042021625,4256403,685,17400
11,114999585995,4256403,685,17400
12,128136714947,4256403,685,17448
13,137688199102,4256403,685,17400
14,153209678663,4256403,685,17400
15,162761579941,4256403,685,17400
16,171118949239,4256403,685,17400
17,181864867461,4256403,685,17400
18,197988717265,4256403,685,17400
19,205155826651,4256403,685,17400
20,214114423588,4256403,685,17400
21,226656836880,4256403,685,17400
22,235616043294,4256403,685,17400
23,248158183687,4256403,685,17400
24,257116863592,4256403,685,17400
25,267867060363,4256403,685,17400
26,282200344799,4256403,685,17448
27,292949622706,4256403,685,17448
28,307282008385,4256403,685,17400
29,321614275085,4256435,693,1896
30,328780654990,4256435,693,17400
31,339530046717,4256403,685,17400
32,353862275332,4256403,685,1864
33,361028760291,4256403,685,17400
34,375361501688,4256403,685,1864
35,386110901986,4256403,685,17400
36,393277261556,4256403,685,17400
37,404026610737,4256403,685,17400
38,418358989221,4256403,685,17400
39,432691602173,4256403,685,17400
40,447023820996,4256403,685,1848
41,460472491211,4256435,693,17448
42,468848256139,4256435,693,17400
43,478271163881,4256435,693,17448
44,491882014054,4256403,685,1864
45,501304329357,4256403,685,1832
46,512178233542,4256403,685,1864
47,525336019206,4256403,685,1896
48,538494187819,4256435,693,17400
49,553532721360,4256403,685,17400
50,556404113644,4256435,693,1864
51,559275735485,4256403,685,17400
52,562147127760,4256403,685,1864
53,565018520074,4256403,685,1832
54,567889961461,4256435,693,17448
55,570761368492,4256403,685,17448
56,573632760794,4256435,693,1896
57,576504154785,4256435,693,17400
58,579375793577,4256403,685,17400
59,582247185852,4256403,685,1784
60,585118683224,4256403,685,17400
61,587990075521,4256435,693,1848
62,590861472694,4256435,693,17448
63,593732877296,4256435,693,17400
64,596604269572,4256403,685,1864
65,599475684096,4256403,685,17448
66,602347194868,4256435,693,17400
67,605218587163,4256435,693,1848
68,608089979448,4256435,693,1896
69,610961489966,4256435,693,17400
70,613833051783,4256435,693,17400
71,616704682179,4256403,685,17400
72,619576074493,4256403,685,1832
73,622447466773,4256403,685,1848
74,625318861174,4256403,685,17448
75,628190472373,4256435,693,17400
76,631061996239,4256435,693,17400
77,633933388516,4256435,693,1848
78,636805034049,4256403,685,17400
79,639676680732,4256435,693,17400
80,642548128011,4256403,685,17400
81,645419695474,4256435,693,17400
82,648291224617,4256403,685,17400
83,651162616895,4256403,685,1864
84,654034068938,4256435,693,17400
85,656905550658,4256403,685,17400
86,659776942962,4256403,685,1864
87,662648335253,4256435,693,1848
88,665519753130,4256403,685,17448
89,668391153189,4256403,685,17448
90,671262596429,4256403,685,17400
